thickness;speed;gas_consumption
0,8;4750;0
1;4750;0
1,5;4160;0
2;3865;0
3;2850;0
4;2660;0
5;2180;0
6;2370;0
8;1920;0
10;1465;0
12;1225;0
14;1091;0
16;1006;0
18;846;0
20;725;0
22;644;0
24;564;0
25;525;0
